Occupation,Category,Women average annual salary (£),Men average annual salary (£),Pay gap (£),Pay gap as a percentage
Admin & organisation,admin & organisation,20380,25311,4930,23.69%
Receptionists,admin & organisation,12009,13281,1272,10.59%
Secretaries,admin & organisation,14614,15315,701,4.80%
Admin,admin & organisation,14594,18729,4135,28.33%
Stock control,admin & organisation,17271,20538,3267,18.92%
Records admin,admin & organisation,17247,21861,4614,26.75%
Finance admin,admin & organisation,17536,22788,5252,29.95%
Government admin,admin & organisation,19287,23047,3760,19.49%
Transport clerks ,admin & organisation,20130,24281,4151,20.62%
Local govt. admin,admin & organisation,19317,25496,6179,31.99%
Payroll & accounts,admin & organisation,17914,25744,7830,43.71%
Human resources,admin & organisation,25376,30153,4777,18.82%
Research & admin,admin & organisation,31261,34986,3725,11.92%
Accountants,admin & organisation,30122,40427,10305,34.21%
Housing managers,admin & organisation,28648,37701,9053,31.60%
Care & education,care & education,24341,29575,5234,21.10%
Welfare & housing,care & education,19130,22335,3205,16.75%
Youth & community,care & education,21281,22817,1536,7.22%
Social care officers,care & education,20674,25514,4840,23.41%
Housing officers,care & education,23275,25656,2381,10.23%
Paramedics,care & education,34764,37078,2314,6.66%
Childcare,care & education,11092,12880,1788,16.12%
Teaching assistants,care & education,10931,13391,2460,22.50%
Care workers,care & education,12204,16271,4067,33.33%
Dental nurses,care & education,14025,17372,3347,23.86%
Nursing assistants,care & education,15034,17880,2846,18.93%
Senior care workers,care & education,15189,19681,4492,29.57%
Ambulance staff ,care & education,19460,23126,3666,18.84%
School crossing,care & education,2301,3219,918,39.90%
Occupational therapy,care & education,26322,28419,2097,7.97%
Physiotherapists,care & education,26244,28793,2549,9.71%
Therapists,care & education,26226,29081,2855,10.89%
Podiatrists,care & education,27624,30559,2935,10.62%
Nurses,care & education,26291,31816,5525,21.01%
Nurses & midwives,care & education,26475,31841,5366,20.27%
Social workers,care & education,29898,32286,2388,7.99%
Further education,care & education,27121,32378,5257,19.38%
Primary education,care & education,29665,35127,5462,18.41%
Teaching & education,care & education,30307,36971,6664,21.99%
Secondary education ,care & education,31683,37124,5441,17.17%
Health professionals,care & education,27524,38199,10675,38.78%
Higher education,care & education,35728,44904,9176,25.68%
Education seniors,care & education,46138,55357,9219,19.98%
Medical practitioners,care & education,44955,78025,33070,73.56%
Creative & media,creative & media,26376,31580,5204,21.19%
Culture & media,creative & media,16093,24227,8134,50.54%
Graphic designers,creative & media,22227,25610,3383,15.22%
Arts & media,creative & media,22738,30197,7459,32.80%
Designers,creative & media,25025,30506,5481,21.90%
Arts producers,creative & media,32031,37920,5889,18.39%
Public relations ,creative & media,25536,28820,3284,12.86%
Web design,creative & media,26180,28990,2810,10.73%
Media professionals,creative & media,28585,32236,3651,12.77%
Business & media,creative & media,31168,37212,6044,19.39%
Advertising,creative & media,34179,40084,5905,17.28%
Law & justice,law & justice,28875,31795,2920,11.93%
Community police,law & justice,25500,26282,782,3.07%
Prison service,law & justice,22634,28486,5852,25.85%
Legal associate,law & justice,22645,31142,8497,37.52%
Protective services,law & justice,30464,34016,3552,11.66%
Police officers ,law & justice,34715,40275,5560,16.02%
Senior police ,law & justice,59871,57701,-2170,-3.62%
Probation officers,law & justice,29767,31777,2010,6.75%
Solicitors,law & justice,37734,42998,5264,13.95%
Traffic wardens,law & justice,20023,18630,-1393,-6.96%
Security,law & justice,19426,20096,670,3.45%
Debt collectors,law & justice,14845,18338,3493,23.53%
Manual work,manual work,16513,22529,6015,38.09%
Packers,manual work,14343,17865,3522,24.56%
Agricultural,manual work,11925,18458,6533,54.78%
Plant operatives,manual work,14272,18894,4622,32.39%
Trades,manual work,14115,19061,4946,35.04%
Construction,manual work,18696,20442,1746,9.34%
Sewing machinists,manual work,13510,17689,4179,30.93%
Factory operatives,manual work,14526,18480,3954,27.22%
Process operatives,manual work,14688,20362,5674,38.63%
Metal working,manual work,16285,20943,4658,28.60%
Electrical assembly,manual work,17144,21370,4226,24.65%
AS A WHOLE,manual work,15405,22698,7293,47.34%
Assemblers ,manual work,15980,23391,7411,46.38%
Print assistants,manual work,16120,23547,7427,46.07%
Construction manager,manual work,23216,34799,11583,49.89%
Skilled agricultural,manual work,15138,18305,3167,20.92%
Textiles & printing,manual work,12949,18769,5820,44.95%
Furniture makers,manual work,20081,20276,195,0.97%
Crafts & decorators,manual work,15287,20457,5170,33.82%
Skilled trades,manual work,14754,20684,5930,40.19%
Printing & binding,manual work,14190,20927,6737,47.48%
Textiles,manual work,12938,21862,8924,68.98%
Leatherwork,manual work,14146,22779,8633,61.03%
Printing trades,manual work,14734,23569,8835,59.96%
Metalwork,manual work,15074,25544,10470,69.46%
Instrument making,manual work,17952,28088,10136,56.46%
Electrical trades,manual work,23358,28238,4880,20.89%
Electricians ,manual work,24102,29666,5564,23.09%
Trade supervisors,manual work,27448,33642,6194,22.57%
Sales & serving others,sales & serving others,18469,22765,4296,28.12%
Caretakers,sales & serving others,12680,17532,4852,38.26%
Insurance clerks,sales & serving others,18654,21374,2720,14.58%
Bank & post office,sales & serving others,16533,21590,5057,30.59%
Careers advisors,sales & serving others,22207,25789,3582,16.13%
Vocational trainers,sales & serving others,22706,27341,4635,20.41%
Marketing associates,sales & serving others,23725,29316,5591,23.57%
Public services ,sales & serving others,25287,30302,5015,19.83%
Fire service,sales & serving others,29782,30968,1186,3.98%
Buyers ,sales & serving others,27010,32851,5841,21.63%
Health & safety ,sales & serving others,29837,34421,4584,15.36%
Insurance ,sales & serving others,28208,35113,6905,24.48%
Sales & marketing,sales & serving others,28000,38261,10261,36.65%
Accounts managers,sales & serving others,28360,42512,14152,49.90%
Sales accounts,sales & serving others,35449,45359,9910,27.96%
Housekeeping,sales & serving others,11330,17101,5771,50.94%
Undertakers,sales & serving others,15672,17586,1914,12.21%
Cleaning managers,sales & serving others,12292,18490,6198,50.42%
Leisure & travel,sales & serving others,14308,18941,4633,32.38%
Travel agents,sales & serving others,14974,22505,7531,50.29%
Rail travel clerks,sales & serving others,26512,31525,5013,18.91%
Bar staff,sales & serving others,5588,7570,1982,35.47%
Cleaners & domestics,sales & serving others,6063,8834,2771,45.70%
Elementary services,sales & serving others,7100,9151,2051,28.89%
Kitchen & catering,sales & serving others,7785,9919,2134,27.41%
Cleaning occupations,sales & serving others,6244,11686,5442,87.16%
