Month,New_Customers,Referral_Percentage,Campaign_Percentage,Partnership_Percentage,Energy_Discharged_kWh,Outage_Avoidance_Percentage,Avg_Savings_Per_Customer,Total_Savings
October,47,40.4,11.16,25.82,910,85.88,34.27,3646
December,49,47.45,11.48,13.23,527,81.93,28.71,7647
March,283,30.51,28.8,22.31,566,91.71,22.18,9257
October,212,43.15,31.49,27.73,854,94.09,28.32,7435
May,123,29.55,16.87,23.06,1595,97.11,25.6,6468
May,130,23.35,22.0,29.03,1216,93.7,23.48,8276
June,120,44.37,26.65,21.52,722,84.44,47.42,6531
October,178,33.3,27.99,17.12,949,82.91,25.13,4459
July,117,27.93,36.91,14.35,874,82.02,38.67,7971
March,140,26.97,26.46,16.66,1653,85.69,41.71,2760
January,214,36.76,31.23,20.59,548,87.82,43.52,8420
October,217,44.6,31.44,18.07,1658,89.78,49.04,5104
February,194,37.1,13.14,26.97,1834,83.53,39.25,6353
January,248,27.44,39.13,26.52,1004,89.53,35.06,6413
November,39,49.07,39.03,17.73,879,90.45,49.54,8046
June,190,26.73,21.46,16.79,835,90.47,28.9,4228
June,183,32.2,35.63,16.27,932,99.91,29.34,4803
December,268,42.39,32.3,20.85,1520,85.84,34.76,3990
July,171,34.73,10.3,27.77,1066,95.61,22.61,9528
April,43,35.05,16.93,24.07,1748,85.93,40.28,3847
October,34,41.63,12.1,16.8,1900,83.27,26.41,4558
May,80,32.94,34.17,28.07,1022,91.84,23.47,2517
February,114,26.93,11.73,22.09,703,86.3,44.01,3861
August,56,36.53,10.2,18.78,628,93.72,25.18,2855
March,89,32.77,26.66,16.87,1624,95.8,49.21,7718
January,273,44.25,23.06,17.32,848,94.39,48.63,7672
May,57,40.09,11.69,22.06,1363,89.46,25.48,7648
August,63,37.15,20.95,15.5,597,86.33,23.78,1681
January,33,43.59,15.3,23.85,721,89.69,23.75,6358
April,145,45.58,12.71,27.03,905,93.29,36.93,5919
July,225,49.43,31.92,16.39,1095,80.13,35.26,6411
May,112,45.57,21.63,24.27,925,86.17,35.32,2883
May,271,41.34,30.79,19.77,1707,85.5,43.35,1841
October,99,20.01,27.41,28.48,665,82.98,35.23,7846
April,215,26.58,23.61,23.73,1732,91.3,35.05,2308
May,102,23.11,32.23,12.93,1440,95.34,30.27,7694
January,48,45.36,21.28,12.65,1586,98.57,24.12,4240
September,225,27.15,26.4,12.85,1362,88.96,42.77,6014
October,154,39.22,37.17,26.15,900,97.69,28.64,8645
July,208,39.94,22.97,29.61,600,97.49,36.9,2749
November,187,32.24,29.6,12.72,1911,99.77,44.57,9185
January,83,35.62,36.11,18.16,697,87.86,34.09,8630
September,274,40.3,21.77,18.33,1415,81.6,28.32,3768
February,42,31.98,12.93,24.5,1234,89.23,46.38,5887
August,25,26.92,35.08,19.6,1543,98.61,26.08,5423
